repetition,method,MISE,Time,M,n,graphon
23,SGWB,0.010502913824510025,0.5023798942565918,50,100,0
23,SBA,0.06087760367395404,0.12316298484802246,50,100,0
23,SAS,0.07634503381086531,0.024332761764526367,50,100,0
23,USVT,0.04705375963875815,0.0043125152587890625,50,100,0
24,JGS,0.0013521962886917684,0.03579854965209961,50,100,0
24,SIGL,0.00152892550628509,33.98832297325134,50,100,0
24,SGWB,0.011276572046669748,0.5305213928222656,50,100,0
24,SBA,0.056091755498934914,0.07563328742980957,50,100,0
24,SAS,0.077597076780048,0.007542133331298828,50,100,0
24,USVT,0.049295103550207456,0.0044596195220947266,50,100,0
25,JGS,0.0007150015899180542,0.03568077087402344,50,100,0
25,SIGL,0.0008508770355692789,39.27884268760681,50,100,0
25,SGWB,0.01089148913267331,0.5028619766235352,50,100,0
25,SBA,0.05157860011455182,0.07500958442687988,50,100,0
25,SAS,0.07510763741777901,0.00776362419128418,50,100,0
25,USVT,0.0460848680575848,0.0044116973876953125,50,100,0
26,JGS,0.0003424628375983241,0.03310227394104004,50,100,0
26,SIGL,0.0010498824791751907,32.709222078323364,50,100,0
26,SGWB,0.012007906741855463,0.5046482086181641,50,100,0
26,SBA,0.0641324437388808,0.0666043758392334,50,100,0
26,SAS,0.07438758516614986,0.008058309555053711,50,100,0
26,USVT,0.04450318208950824,0.04689931869506836,50,100,0
27,JGS,0.0004647517012595254,0.03472304344177246,50,100,0
27,SIGL,0.00108303174622804,30.421698808670044,50,100,0
27,SGWB,0.016524231502818707,0.5059933662414551,50,100,0
27,SBA,0.05269257176320288,0.07698917388916016,50,100,0
27,SAS,0.07515389635017676,0.007952213287353516,50,100,0
27,USVT,0.04551532351309506,0.005274295806884766,50,100,0
28,JGS,0.0010763540677633202,0.033059120178222656,50,100,0
28,SIGL,0.00117746579104659,36.33609461784363,50,100,0
28,SGWB,0.012574773400555286,0.5267026424407959,50,100,0
28,SBA,0.06471264922002104,0.06178903579711914,50,100,0
28,SAS,0.07577216178338937,0.007772922515869141,50,100,0
28,USVT,0.04644276904494304,0.004391908645629883,50,100,0
29,JGS,0.0007972406507153761,0.03217601776123047,50,100,0
29,SIGL,0.0009574123386391876,33.95009708404541,50,100,0
29,SGWB,0.010928933542851047,0.5101315975189209,50,100,0
29,SBA,0.06626451432568861,0.059699296951293945,50,100,0
29,SAS,0.07547620924215624,0.007651805877685547,50,100,0
29,USVT,0.046007558077274115,0.004256248474121094,50,100,0
30,JGS,0.0009991891624464362,0.0318756103515625,50,100,0
30,SIGL,0.0011876991390156514,30.164425134658813,50,100,0
30,SGWB,0.012910364423912355,0.5229654312133789,50,100,0
30,SBA,0.06414684954893066,0.06898880004882812,50,100,0
30,SAS,0.07608132119366455,0.007494449615478516,50,100,0
30,USVT,0.04741891653124817,0.004183769226074219,50,100,0
31,JGS,0.0012085127236303441,0.03867363929748535,50,100,0
31,SIGL,0.001256327272944833,29.828524589538574,50,100,0
31,SGWB,0.011183446860153249,0.5002319812774658,50,100,0
31,SBA,0.06580324219617321,0.06646490097045898,50,100,0
31,SAS,0.07582967844639357,0.0077877044677734375,50,100,0
31,USVT,0.046888858018568826,0.009412765502929688,50,100,0
